Message,Category,contains_phone_number,contains_URL_link,Keywords,Special_Characters,Amount,Length,SMS_Number,word_count,label_numeric
"आपका मोबाइल नंबर हमारे लकी ड्रॉ में चुना गया है! आप एक ब्रांड न्यू स्मार्टफोन जीत सकते हैं, वो भी बिलकुल मुफ्त! अपना पुरस्कार प्राप्त करने के लिए, हमारे प्रतिनिधि को 9876543210 पर कॉल करें और सिर्फ ₹199 की डिलीवरी फीस जमा करें। जल्दी करें, यह ऑफर सीमित समय के लिए है! इस ऑफर को मिस न करें - आपके दोस्त भी इस मौके का फायदा उठा सकते हैं!",spam,1,0,1,1,0,335,0,69,0
मुफ़्त वर्कशॉप दस्तावेज़ के साथ विदेश में काम करें। आज ही कॉल करें।,spam,0,0,1,0,0,67,0,13,0
"प्रिय ग्राहक, आपका खाता लॉक हो गया है। कृपया वेरीफाई करें। कल 55678",spam,0,0,0,1,0,67,1,13,0
"आपका खाता सफलतापूर्वक सक्रिय है । प्रिय ग्राहक, आपका खाता सफलतापूर्वक सक्रिय हो गया है। किसी भी प्रश्न के लिए हमसे संपर्क करें।",ham,0,0,0,1,0,127,0,23,1
"बेबी, मैं अब घर पर हूँ, कुछ करना है? XX",ham,0,0,0,1,0,39,0,10,1
मुझे सूर्यास्त से पहले अपने कमरे में वापस आना है।,ham,0,0,0,0,0,49,0,10,1
"अब केवल 5000 रुपये का निवेश करें और 1 महीने में 10 गुना वापस पाएं। मौका हाथ से न जाने दें, अभी रजिस्टर करें: HTTPS://WWW.BULLIONLTD.COM।",spam,0,0,1,1,0,136,0,25,0
"अपराधी बैंक ऐप्स की नकल कर रहे हैं। इस साइबर सुरक्षा जागरूकता माह में, केवल आधिकारिक चैनलों से ही IDFC FIRST बैंक ऐप डाउनलोड करने का संकल्प लें। सतर्क रहें, सुरक्षित रहें!",ham,0,0,0,1,0,171,0,32,1
"80% छूट! स्मार्ट इंक सिस्टम अब उपलब्ध! चूकिए मत, अभी विजिट करें: [लिंक पर क्लिक करें]",spam,0,0,1,1,0,85,0,16,0
मुझे पता है! क्रोधी बाबू लोग। मेरी माँ ने कहा था कि बेहतर होगा कि तुम झूठ बोलो। फिर भी मैं हमेशा मजाक करने वाला ही हूं...,ham,0,0,0,1,0,121,0,27,1
मैं नवीनतम हूँ। जब हम पूरी पढ़ाई करेंगे तो हमें बहुत सारा लोन चुकाना होगा।,ham,0,0,0,0,0,74,0,15,1
वर्कशॉप होम से - बस ₹500 नामांकन शुल्क। आज ही संपर्क करें।,spam,0,0,0,1,0,58,0,12,0
"सच्ची खुशी देने वाले काम करें, संतोष प्राप्त होगा।",ham,0,0,0,1,0,50,0,9,1
प्रस्ताव पर आपकी प्रतिक्रिया की प्रतीक्षा है।,ham,0,0,1,0,0,45,0,7,1
क. आपने मुझे अभी फ़ोन क्यों किया था?,ham,0,0,0,1,0,36,0,8,1
"प्रिय सदस्य, मीटिंग का निमंत्रण । प्रिय सदस्य, अगली सप्ताह की मीटिंग के लिए निमंत्रण भेजा जा रहा है। कृपया उपस्थित रहें।",ham,0,0,0,1,0,120,0,22,1
आज मैं एक नई रेसिपी ट्राई कर रहा हूँ। मुझे शुभकामनाएँ दो!,ham,0,0,0,1,0,57,0,12,1
मुझे आपसे कुछ ज़रूरी बात करनी है।,ham,0,0,0,0,0,33,0,7,1
क्या आप कल के कार्यक्रम में शामिल होंगे?,ham,0,0,0,1,0,40,0,8,1
विशेष ऑफर! आज ही 50% की छूट का लाभ उठाएं। अभी कॉल करें।,spam,0,0,1,1,0,55,0,13,0
किसी की मदद करना सबसे बड़ा पुण्य है। आज किसी की मदद कीजिए।,ham,0,0,0,0,0,58,0,13,1
आपको आने वाले दिन के लिए शानदार शुभकामनाएं!,ham,0,0,0,1,0,43,0,8,1
"शेल पेट्रोल, डिझेल अब कमी किमत मिलवा! आजच भेट द्या. नियम एवं शर्तें लागू",spam,0,0,0,1,0,72,0,14,0
"📈 अपनी आजीविका को सुधारने के लिए ऑनलाइन मार्ग से पैसे कमाएं! इस लिंक पर क्लिक करें ""https://cdnnd.com/srv.html?id=5519754&pub=2886614"" और जानें! 💻💰",spam,0,1,1,1,0,147,0,21,0
"एक ऑपरेटिंग सिस्टम है जिसका नाम उबंटू है, जो बिना हार्ड डिस्क में इंस्टॉल किए चलाया जा सकता है। आप इस OS का उपयोग कर सकते हैं…",ham,0,0,0,1,0,126,0,27,1
"आपकी मुफ़्त रिंगटोन आपके द्वारा प्राप्त किए जाने का इंतज़ार कर रही है। पुष्टि करने के लिए बस पासवर्ड ""MIX"" को 85069 पर भेजें। अशर और ब्रिटनी को पाएँ।",spam,0,0,1,1,0,149,1,29,0
"ठीक है, कुछ चल रहा है?",ham,0,0,0,1,0,22,0,6,1
"दोपहर का भोजन बहुत बढ़िया था, हमें इसे फिर से करना चाहिए!",ham,0,0,0,1,0,57,0,12,1
आपने एक मुफ्त यात्रा जीती है! अधिक जानकारी के लिए हमसे संपर्क करें।,spam,0,0,1,1,0,67,0,13,0
आज की मीटिंग के लिए आपको शुभकामनाएँ!,ham,0,0,0,1,0,36,0,7,1
संस्थान की बार्षिक प्रद्योगिकी उत्सव होने वाला हे चलो सब उसमे भाग लेते हैं।,ham,0,0,0,0,0,75,0,14,1
"₹1,00,000 तक का लोन सिर्फ 5 मिनट में! अभी अप्लाई करें: https://loanexpress.top/v9MnKL87 -EasyLoan।",spam,0,1,0,1,0,98,0,13,0
"आपका दिन आ गया है! XCHAT पर जुड़ें और पाएं सबसे पागल चैट। ""CHAT"" भेजें 86688 पर अभी!",spam,0,0,0,1,0,84,1,18,0
"तू भी न भाई, अभी तक वही पुरानी jokes मार रहा है… कुछ नया try कर",ham,0,0,0,1,0,63,0,16,1
"प्रिय ग्राहक, लेंसकार्ट की उत्सव बिक्री चालू है! 2500 से ऊपर के ऑर्डर पर फ्लैट 500 की छूट पाएं।

कोड का उपयोग करें: JOY31-57052625LK, 31 अक्टूबर तक। TnC

अभी खरीदारी करें lskt.me/q8",spam,0,0,0,1,0,181,0,32,0
"""फ्री क्रेडिट कार्ड आज ही पाएं!"" ""बिना किसी ब्याज के क्रेडिट कार्ड पाएं। अभी आवेदन करें और लाभ उठाएं। जल्दबाजी करें, केवल सीमित अवधि के लिए।""",spam,0,0,1,1,0,141,0,26,0
"भाई मेघालया, Dawki और एक बार जाने का मन लग रहे हैं...बहुत सुन्दर है...और बहुत आनंददायक भी।",ham,0,0,0,1,0,90,0,17,1
"आपकी यात्रा की पुष्टि हो चुकी है। प्रिय ग्राहक, आपकी ट्रेन टिकट बुकिंग सफलतापूर्वक हो गई है। यात्रा की तारीख और समय की पुष्टि इस ईमेल में दी गई है। धन्यवाद, यात्रा सेवा।",ham,0,0,0,1,0,169,0,33,1
आपका बैंक खाता बंद हो जाएगा! कृपया अपने खाते को वेरीफाई करें।,spam,0,0,0,1,0,61,0,12,0
पीपीटी बनाने के लिए आपको पहली स्लाइड में लोगो जोड़ना होगा और 10वीं स्लाइड में कवर किए गए अंश भाग को ठीक करना होगा।,ham,0,0,0,0,0,114,0,24,1
जिम से अभी लौटा हूँ।,ham,0,0,0,0,0,20,0,5,1
"नौकरी के लिए आवेदन की प्रक्रिया । प्रिय उम्मीदवार, नौकरी के लिए आवेदन की प्रक्रिया प्रारंभ हो चुकी है। विवरण के लिए हमारी वेबसाइट पर जाएं।",ham,0,0,0,1,0,138,0,26,1
"मुझे आपकी सलाह चाहिए, कब बात कर सकते हैं?",ham,0,0,0,1,0,41,0,9,1
चेतावनी! सरकार मुझे अंडरग्राउंड सीडी बेचने से रोकना चाहती है! जानें बैनड सीडी 2004 के बारे में: [लिंक पर जाएं] बिना पहचान के!,spam,0,0,0,1,0,125,0,23,0
"जिन्हें 29 अक्टूबर को दिवाली के लिए हवाई अड्डे तक बस सेवा की आवश्यकता है, वे जवाब दें",ham,0,0,0,1,0,85,0,18,1
"भाई आज बिना डिनर के सो गया मैं, इतना lazy फील कर रहा था… सोच रहा था, diet पर हूं",ham,0,0,0,1,0,80,0,20,1
आपका दिन कैसा रहा?,ham,0,0,0,1,0,18,0,4,1
बस आपसे मिलने के लिए अभिवादन करना चाहता था!,ham,0,0,0,1,0,43,0,9,1
"नमस्कार 82192979XX, आज ही आपका 5000 रुपये का वेलकम बोनस हो सकता है! My11Circle पर CHN बनाम GUJ जीतने की राशि - 1,03,00,000 रुपये (10.3 करोड़) क्लिक करें - http://gmg.im/hVmtUw",spam,0,1,1,1,1,175,0,30,0
"मुझे इतना गुस्सा आ रहा है ना
तुम्हें नहीं बताऊंगा",ham,0,0,0,0,0,49,0,10,1
"आपका पैन कार्ड वेरिफाई करें । प्रिय ग्राहक, कृपया अपने पैन कार्ड की जानकारी अपडेट करें। इस लिंक पर क्लिक करें: [http://verify-pan-details-now.com]।",spam,0,1,1,1,0,147,0,22,0
हम खाना खाने बाहर जा रहे हैं आओगे क्या ?,ham,0,0,0,1,0,40,0,10,1
नई नौकरी के लिए बधाई!,ham,0,0,1,1,0,21,0,5,1
"आपका बैंक खाता सक्रिय है , प्रिय ग्राहक, आपका बैंक खाता सक्रिय है। किसी भी प्रश्न के लिए कृपया हमसे संपर्क करें। धन्यवाद।",ham,0,0,0,1,0,121,0,23,1
इस शुक्रवार बाहर चलने का क्या विचार है?,ham,0,0,0,1,0,39,0,8,1
अपनी LUUCY Hy Hy Hy Herty पूरे दिन WAN और मैं होटल में अकेला ब होगा होटल यू आकर्षक syys पर? कोर 2909..,spam,0,0,0,1,0,102,0,23,0
आपकी त्वरित प्रतिक्रिया के लिए धन्यवाद।,ham,0,0,0,0,0,39,0,6,1
नमस्ते! आपने अभी रोहानी वी. से बात की। हम जानना चाहेंगे कि क्या आप अपने अनुभव से संतुष्ट थे। जवाब दें…,ham,0,0,0,1,0,102,0,21,1
"आपने घर पहुंचने का मैसेज किया था, सही सलामत पहुंचे?",ham,0,0,0,1,0,51,0,10,1
बात करते करते पुरा कव्हर हो जयेगा,ham,0,0,0,0,0,33,0,7,1
"आज ही मुफ़्त 5GB डेटा देखें, 98765 पर ""मुफ़्त"" रीलिंक्स।",spam,0,0,1,1,0,56,1,10,0
आप लोग कहां हो.. अभी तक लाइब्रेरी ऑडिटोरियम में कोई नहीं पहुंचा है.. कृपया जल्दी आइए।,ham,0,0,1,1,0,85,0,16,1
टी-मोबाइल ग्राहक अब आप अपनी वफादारी के लिए अपने मुफ्त कैमरा फोन अपग्रेड और पे एंड गो सिम कार्ड का दावा कर सकते हैं। 0845 021 3680 पर कॉल करें.ऑफ़र 28 फरवरी को समाप्त होता है.T&C का आवेदन,spam,0,0,1,1,0,186,0,38,0
मुझे अब खुद के लिए कुछ समय निकालने की आदत डालनी चाहिए।,ham,0,0,0,0,0,54,0,12,1
"ठीक है, मैं इससे पहले क्या नहीं कर सकता?",ham,0,0,0,1,0,40,0,9,1
आपकी यात्रा कैसी रही?,ham,0,0,0,1,0,21,0,4,1
एक यूनिट रक्त की तत्काल आवश्यकता है। इच्छुक व्यक्ति कृपया मुझे DM करें।,ham,0,0,0,0,0,71,0,13,1
"आपकी यात्रा की जानकारी । प्रिय यात्री, आपकी यात्रा की जानकारी संलग्न है। कृपया इसे ध्यान से देखें।",ham,0,0,0,1,0,98,0,18,1
क्या यह कल शाम का समय हो सकता है? जैसे 4 या 5 बजे,ham,0,0,0,1,0,49,0,14,1
"क्या मैं पासपोर्ट नोट भूल गया? मैं घोड़ा चाहता हूं, मुझे जगाना है, मैं तुम्हारे लिए तरसता हूं... लेकिन सबसे ज्यादा... मैं सच्चा प्यार करता हूं मेरे प्यारे अरब घोड़े... दोस्तम... स्वादिष्ट",ham,0,0,0,1,0,187,0,32,1
मैं भविष्य की परियोजनाओं पर सहयोग करने के लिए उत्सुक हूँ।,ham,0,0,0,0,0,57,0,11,1
परियोजना में आपकी मदद के लिए धन्यवाद!,ham,0,0,0,1,0,37,0,7,1
"केवल आज के लिए - ब्याज रहित लोन पाएं बिना किसी डॉक्युमेंट के तुरंत लोन का लाभ उठाएं! सीमित समय के लिए ऑफर है, जल्दी करें और आज ही अप्लाई करें। ब्याज 0% है।",spam,0,0,1,1,0,155,0,34,0
आपका Paytm वॉलेट बंद हो जाएगा। सक्रिय करें: https://walletsupport.co/mKL87J9N -PaytmHelp।,spam,0,1,0,1,0,89,0,10,0
"थोड़ा मदद चाहिए थी , मुझे अर्थनीति समझ दोगे क्या ।",ham,0,0,0,1,0,49,0,11,1
आपने एक मुफ्त यात्रा जीती है! अधिक जानकारी के लिए हमसे संपर्क करें।,spam,0,0,1,1,0,67,0,13,0
तुम्हारी मदद के लिए बहुत-बहुत धन्यवाद! तुम्हारे सुझावों ने मेरी समस्या का समाधान किया और अब मैं आत्मविश्वास से भरा हूं।,ham,0,0,0,1,0,119,0,21,1
सुविधाओं से भरा एक शानदार ऑफर आपकी राह देख रहा है! जानने के लिए अभी लॉग इन करें: http://www.urawinner.com और आज ही अपना भाग्य आजमाएं!,spam,0,1,1,1,0,133,0,25,0
मैं आज घर से काम करूंगा।,ham,0,0,0,0,0,24,0,6,1
"पेश है JioSafe - 5 स्तरों की सुरक्षा के साथ वास्तव में सुरक्षित वॉयस, वीडियो और कॉन्फ्रेंस कॉलिंग के लिए। अभी डाउनलोड करें: www.jiosafe.com/getसर्वोत्तम प्लान के साथ भारत के एकमात्र सच्चे 5G नेटवर्क का अनुभव करें! मात्र Rs.349 प्रति माह से शुरू होकर असीमित 5G डेटा का आनंद लें। साथ ही अन्य ऑपरेटरों की तुलना में हर महीने 20% तक की बचत करें।",spam,0,0,1,1,0,340,0,63,0
मुझे आपसे कुछ ज़रूरी बात करनी है।,ham,0,0,0,0,0,33,0,7,1
"नमस्ते, आपके खाते में 50 रुपये जोड़े गए हैं। कोड GET50 का उपयोग करके इसे रिडीम करें और दवाओं पर 25% तक की छूट पाएं*। वैधता 26 अक्टूबर तक। खरीदें: http://nsm.sg/vONEMG/jnsGPz4 टाटा 1mg",spam,0,1,1,1,0,183,0,33,0
"कंपनी की बैठक का निमंत्रण । प्रिय कर्मचारी, कंपनी की बैठक में आपको आमंत्रित किया जाता है। कृपया उपस्थित रहें।",ham,0,0,0,1,0,109,0,20,1
आज एक नया व्यक्तिगत सर्वश्रेष्ठ हासिल किया - सफलता का अहसास!,ham,0,0,0,1,0,60,0,11,1
कभी भी त्वरित कसरत की शक्ति को कम मत समझो!,ham,0,0,0,1,0,42,0,10,1
"मैंने तुझे 1500 रुपये भेजे हैं, कृपया इन्हें सुरक्षित रख।",ham,0,0,0,1,0,57,0,10,1
क्या तुम मुझे अपनी पसंदीदा फिल्म के बारे में बता सकते हो?,ham,0,0,0,1,0,57,0,12,1
मैं जल्द ही घर आ जाऊँगा,ham,0,0,0,0,0,23,0,6,1
"जल्दी मिलते हैं, तुमसे बात करने का इंतजार है।",ham,0,0,1,1,0,45,0,9,1
"नवीनतम पाठ्यक्रम की जानकारी । प्रिय छात्र, नवीनतम पाठ्यक्रम की जानकारी के लिए हमारी वेबसाइट पर जाएं। धन्यवाद।",ham,0,0,0,1,0,109,0,18,1
आपने एक मुफ्त यात्रा जीती है! अधिक जानकारी के लिए हमसे संपर्क करें।,spam,0,0,1,1,0,67,0,13,0
"विशेष ऑफर! ₹50,000 की खरीदारी के लिए कॉल करें।",spam,0,0,1,1,0,46,0,9,0
क्या तुमने वो नई किताब पढ़ ली? मुझे लगता है तुम्हें वो पसंद आएगी।,ham,0,0,0,1,0,65,0,14,1
क्या आप आज व्यस्त हैं?,ham,0,0,0,1,0,22,0,5,1
"Alibaba.com पर थोक में खरीदें। फैशन, प्लेड ड्रेस, स्पोर्ट्सवियर और अधिक। सबसे अच्छे दामों में 1 साल की गारंटी के साथ! अभी एक्सप्लोर करें और अपने बिजनेस के लिए सर्वश्रेष्ठ डील पाएं।",spam,0,0,1,1,0,180,0,32,0
कृपया बैठक के लिए अपनी उपलब्धता की पुष्टि करें।,ham,0,0,0,0,0,47,0,9,1
आने वाले नये साल की ढ़ेर सारी शुभकामनाएं!,ham,0,0,0,1,0,40,0,8,1
"हाँ, हमें शुक्रवार को करना चाहिए - टॉर्टिला के लिए अंडा-आलू की मात्रा निर्धारित करनी चाहिए!",ham,0,0,0,1,0,91,0,16,1
एक रोड ट्रिप की योजना बन रही है! नई जगहें देखने का इंतजार है।,ham,0,0,0,1,0,61,0,14,1
मैं इस मामले पर आपके त्वरित ध्यान की सराहना करता हूँ।,ham,0,0,0,0,0,53,0,11,1
आपके द्वारा दी गई विस्तृत जानकारी के लिए धन्यवाद।,ham,0,0,0,0,0,49,0,9,1
"हाय मोहित
भारत की एकमात्र एआई-संचालित स्वास्थ्य परीक्षण सेवा के साथ सटीकता का अनुभव करें।
फुल बॉडी टेस्ट @ रु.699 में बुक करें।
हेल्थियंस 9289628086 पर कॉल करें",spam,1,0,1,1,0,160,0,28,0
"आपका पासपोर्ट रिन्यू करने की जरूरत है! प्रिय ग्राहक, आपके पासपोर्ट को रिन्यू करने का समय आ गया है। तुरंत यहाँ क्लिक करें: [http://passport-renewal-online.com]।",spam,0,1,1,1,0,159,0,24,0
"प्रिय ग्राहक, आपके खाते का स्टेटमेंट । प्रिय ग्राहक, आपके खाते का मासिक स्टेटमेंट संलग्न है। किसी भी समस्या के लिए कृपया हमसे संपर्क करें।",ham,0,0,0,1,0,138,0,25,1
मुझे उम्मीद है कि तुम पूरी तरह से स्वस्थ हो।,ham,0,0,0,0,0,44,0,10,1
आज 7548 पर समाप्त होने वाले वोडा नंबरों को $350 का पुरस्कार प्राप्त करने के लिए चुना गया है। यदि आपके पास कोई मेल है तो कृपया 08712300220 पर कॉल करें और दावा कोड 4041 मानक दरें ऐप बताएं।,spam,1,0,1,1,0,186,0,39,0
"हे सुनो दीदी की शादी में तुम्हें आना पड़ेगा तो अच्छा होगा की जल्दी आ जाना , मुझे मदद हो जाएगा ।",ham,0,0,1,1,0,94,0,22,1
पुरुष! हम आपसे संपर्क करने की कोशिश कर रहे हैं। पिछले सप्ताहांत ड्रा से पता चलता है कि आपने £ 1000 का पुरस्कार जीता है। 09064012160 को कॉल करें। दावा कोड K52। केवल 12 घंटे मान्य। 150पीपीएम,spam,1,0,1,1,0,188,0,37,0
"महत्वपूर्ण अपडेट: सरकारी भर्ती परीक्षा के कारण 27 अक्टूबर, 2024 को सुबह 08:30 से दोपहर 4:00 बजे तक मोबाइल इंटरनेट सेवाएं अस्थायी रूप से प्रतिबंधित रहेंगी। इसके लिए हुई असुविधा के लिए हम खेद प्रकट करते हैं। टीम एयरटेल",ham,0,0,0,1,0,216,0,39,1
"आपके खाते में कमी पाई गई है! प्रिय ग्राहक, आपके खाते में कमी पाई गई है। कृपया इसे चेक करें: [https://account-security-check.com]।",spam,0,1,0,1,0,129,0,21,0
रिंगटोन ऑर्डर के लिए धन्यवाद। आपका मोबाइल चार्ज होगा £4.50। अगर टोन नहीं मिला तो कॉल करें 09065989182 पर।,spam,1,0,1,1,0,105,0,19,0
��अपना वजन कम करें! 70% छूट पर हेल्थ सप्लीमेंट्स! 🌿 अभी खरीदें: www.health-sale.com/dl123 💊 कोड: HEALTHY-20।,spam,0,0,1,1,0,108,0,16,0
कृपया मुझे कॉल करें।,ham,0,0,1,0,0,20,0,4,1
"पता है? कल class में मैं वो टीचर को मुंह पर बोल के आया… बवाल हो गया भाई, मजा आ गया 🤣",ham,0,0,0,1,0,84,0,22,1
मुझे पटाखों से डर लगता हे ।,ham,0,0,0,0,0,27,0,7,1
दोस्तों के साथ समय बिताना हमें ऊर्जावान बनाता है। क्या आपने अपने दोस्तों से बात की?,ham,0,0,0,1,0,83,0,16,1
भाई क्लास के बाद CS19 लैब में आओ,ham,0,0,0,0,0,32,0,8,1
मैं हर संभव तरीके से सहायता करने में प्रसन्न हूँ।,ham,0,0,0,0,0,49,0,10,1
आशा है कि आप दोनों खुश और स्वस्थ होंगे,ham,0,0,0,0,0,38,0,9,1
क्या तुम बस पकड़ में आ गए हो? क्या तुम अंडा तल रहे हो? आपने चाय कैसे बनाई है? क्या तुम अपनी माँ का बच्चा खाना खा रहे हो? मेरा प्यार कैसा महसूस हो रहा है?,ham,0,0,0,1,0,153,0,36,1
"शनिवार को देखते हैं...मैंने अभी शुरुआत नहीं की...मुझे पता नहीं अभी क्या विषय है गहराई में, मैं शनिवार को देख के बताता हूं",ham,0,0,0,1,0,121,0,23,1
नमस्ते! बैलेंस लो है और अपनी पसंदीदा कॉलर ट्यून मिस कर रहे हैं? 47 रुपये का रिचार्ज करें और अपना गाना फिर से सेट करें! #LoveForTunes https://vi.app.link/ctgj,spam,0,1,1,1,0,157,0,27,0
"तुम बत्राओ क्या हाल हे , उफ्फ़ में तो भूल ही गया था , बताओ कैसा चल रहा हे ।",ham,0,0,0,1,0,74,0,20,1
एक डॉलर का ख़रीदारी ख़रीदारी के लिए अपने घर जाएँ समय। मैं हिल भी नहीं सकता। मुझे दर्द हो रहा है।,ham,0,0,0,0,0,96,0,21,1
"विजेता बनें और 10,000 रुपये जीतें! जल्द से जल्द संपर्क करें।",spam,0,0,1,1,0,60,0,11,0
"भाई, अब हम अपने डेटा साइंस असाइनमेंट के लिए हिंदी में बात करने जा रहे हैं। तो आप भी ऐसा ही करें।",ham,0,0,0,1,0,96,0,22,1
"मैं आ रहा हूँ, जल्द ही आपसे मुलाकात होगी!",ham,0,0,0,1,0,41,0,9,1
कोई ऐसी जानकारी आए तो प्लीज शेयर करें भाई,ham,0,0,0,0,0,41,0,9,1
तत्काल संपर्क करें - आपका डेटा समाप्त होने वाला है। विस्तार करें.,spam,0,0,0,1,0,65,0,12,0
ऑनलाइन इंटरनेट जॉब्स उपलब्ध हैं। आप 30000/- तक कमा सकते हैं। प्रतिदिन सिर्फ़ 1-2 घंटे काम करें। अगर आप आज ही आवेदन करते हैं तो आपको विशेष ऑफ़र मिलेगा। कृपया यहाँ जाएँ: www.NetJobsGuide.com,spam,0,0,0,1,0,188,0,33,0
. सुप्रभात! आशा है आपका दिन मंगलमय हो!,ham,0,0,0,1,0,38,0,8,1
आपका ड्रीम होम पाएं। अभी अप्लाई करें: https://dreamhome.co/m89JNL7K -HomeLoan।,spam,0,1,0,1,0,78,0,9,0
"समीक्षा के लिए पुस्तकें उपलब्ध, ""प्रिय पाठक, आपके द्वारा अनुरोधित पुस्तकें अब उपलब्ध हैं। कृपया अपनी समीक्षाएं साझा करें।""",ham,0,0,0,1,0,122,0,19,1
खाना खा लिया क्या?,ham,0,0,0,1,0,18,0,4,1
उसका जान-पहचान 2-3 लोग हैं,ham,0,0,0,0,0,26,0,5,1
आपके PF अकाउंट में समस्या है। सुधार करें: https://pfupdate.in/xKL98N7M -EPFSupport।,spam,0,1,0,1,0,83,0,10,0
ओह के...मैं यहाँ देख रहा हूँ:),ham,0,0,0,1,0,30,0,6,1
आपकी तरफ चीजें कैसी चल रही हैं?,ham,0,0,0,1,0,31,0,7,1
"प्रिय गृहस्वामी, आपकी ब्याज दर ज्यादा है! अब 3.39% दर पर लॉक करें और हजारों रुपये बचाएं। कोई बाध्यता नहीं है!                      अभी क्लिक करें!",spam,0,0,1,1,0,146,0,24,0
9 से 15 अगस्त तक आपके घर पर देश के गौरव और सम्मान के प्रतीक झंडे और हर घर के ध्वज अभियान में भाग लें। अपनी सेल्फी क्लिक करें और harghartiranga.com पर अपलोड करें,spam,0,0,1,1,0,160,0,34,0
"जिंदगी का हर लम्हा खास है, इसे खुश होकर जीना सीखें।",ham,0,0,0,1,0,51,0,11,1
"बधाई हो! आपने 5,00,000 रुपये का नकद पुरस्कार जीता है! अपनी जीत का दावा करने के लिए कृपया इस लिंक पर जाएँ: https://bit.ly/54uTyED। यह ऑफर केवल 7 दिनों के लिए वैध है!",spam,0,1,1,1,0,164,0,32,0
"Vodaphone से 3 महीने का फ्री सब्सक्रिप्शन! इस सब्सक्रिप्शन के साथ आपको अनलिमिटेड कॉलिंग और डेटा मिलेगा। इसे तुरंत एक्टिवेट करने के लिए बस 'ACTIVATE' रिप्लाई करें, और यह ऑफर आपके नंबर पर तुरंत सक्रिय हो जाएगा।",spam,0,0,1,1,0,208,0,37,0
₹199 में माइक्रोसॉफ्ट ऑफिस का लाइफटाइम एक्सेस पाएं। LIMITED ओफ़र - DETAILS को 8837492211 पर भेजें।,spam,1,0,0,1,0,98,0,16,0
घर पर सब ठीक है?,ham,0,0,0,1,0,16,0,5,1
"बधाई हो, आपके लिए 5000 रुपये का विशेष बोनस My11Circle पर IND vs SL T20 पुरस्कार पूल - 2,71,00,000 (2.71 करोड़) प्रवेश शुल्क - 49 अभी जुड़ें - http://gmg.im/doa8cU",spam,0,1,1,1,1,162,0,29,0
